	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
	cond				1	0	0	P	U	0	W	0	Rn				Register List															
	cond				1	0	0	P	U	0	W	1	Rn				Register List															
	cond				1	0	0	P	U	1	0	0	Rn				0	Register List														
	cond				1	0	0	P	U	1	0	1	Rn				0	Register List														
	cond				1	0	0	P	U	1	W	0	Rn				1	Register List														
	cond				1	0	0	P	U	1	W	1	Rn				1	Register List														
	cond				1	0	1	0	imm																							
	cond				1	0	1	1	imm																							
	cond				1	1	0	P	U	N	W	0	Rn				CRd				cp_num				imm							
	cond				1	1	0	P	U	N	W	1	Rn				CRd				cp_num				imm							
	cond				1	1	1	0	op1				CRn				CRd				cp_num				op2			0	CRm			
	cond				1	1	1	0	op1			0	CRn				Rd				cp_num				op2			1	CRm			
	cond				1	1	1	0	op1			1	CRn				Rd				cp_num				op2			1	CRm			
	cond				1	1	1	1	imm																							
